cod_sed;secretaria;codigo_institucion;nombre_institucion;licencia;fecha_licencia;nit;cod_dpto;departamento;cod_mpio;municipio;localidad;barrio;direccion;telefono;correo_electronico;pagina_web;naturaleza;nombre_representante;certificado_calidad;numero_certificacion;norma;entidad_emisora;estado_certificacion;fecha_otorgamiento;fecha_vencimiento;longitud;latitud;año_corte;mes_corte;fecha_corte
3.766,;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;396,;FUNDACIÓN CENTRO ELECTRÓNICO DE IDIOMAS FUNCEI;4056;2004 sep 29 12:00:00 AM;830043858-8;11,;BOGOTÁ D.C.;11.001,;BOGOTÁ;ANTONIO NARIÑO;RESTREPO;CALLE 15 SUR NO 19-08 PISO 2-3;2094466;ceirestrepo@hotmail.com;http://cei.edu.co;PRIVADA;LUIS JAIME PABON MAECHA;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.819,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE BUENAVENTURA;6.786,;CORPORACION ESCUELA SUPERIOR DE ADMINISTRACIÓN Y ESTUDIOS TECNOLOGICOS;0904;2012 abr 13 12:00:00 AM;890309555-3;76,;VALLE DEL CAUCA;76.109,;BUENAVENTURA;;Doña Cesi;Carrera 55 N° 6-30;2420190;coordinacion_buenaventura@eae.edu.co;www.eae.edu.co;PRIVADA;FERNANDOJIMENEZ DUQUE;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.825,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CASANARE;9.085,;ESCUELA DE FORMACIÓN EMPRESARIAL EFE;3189;2018 dic 13 12:00:00 AM;800013469.9;85,;CASANARE;85.010,;AGUAZUL;;;Carrera 15 No 09-22;038-6387416;scubides@cccasanare.co;;PRIVADA;ZONIA YANET FUENTES CAMARGO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.781,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CÓRDOBA;7.046,;"CENTRO DE ESTUDIOS TÉCNICOS ""CEPRODENT""";862;2013 sep 12 12:00:00 AM;900350585-2;23,;CÓRDOBA;23.672,;SAN ANTERO;;;INSTITUCION EDUCATIVA JULIO C. MIRAMDA;3126249064;ceprodentmonteria@yahoo.com;;PRIVADA;FERNANDOBITTAR CURE;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
4.841,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE YOPAL;6.829,;FUNDACION TECNICA DE COLOMBIA;0798;2016 jun 27 12:00:00 AM;844002917-1;85,;CASANARE;85.001,;YOPAL;;COROCORA;CALLE 13 No. 16 - 08;6323232;fcasanare@hotmail.com;;PRIVADA;OSCAR DEMETRIOPLATA SERRANO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.766,;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;9.131,;INSTITUCION DE EDUCACION PARA EL TRABAJO Y EL DESARROLLO HUMANO CORPOIBEROAMERICANA S.A.S;06-004-2019;2019 feb 05 12:00:00 AM;901139908-9;11,;BOGOTÁ D.C.;11.001,;BOGOTÁ;TUNJUELITO;VENECIA;CALLE 45A SUR No. 53A-39;3024544073;direccion@corpoiberoamericana.edu.co;www.corpoiberoamericana.edu.co;PRIVADA;YOLANDA DEHAQUIZ RONCANCIO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.799,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE PASTO;9.498,;POLITÉCNICO ANDINO DE COLOMBIA SAS;4094;2019 dic 26 12:00:00 AM;800208838-1;52,;NARIÑO;52.001,;PASTO;;;CALLE 20 No. 26-07;3117340676;politecnicoandinodecolombia@gmail.com;;PRIVADA;CRISTIAN ALBERTORODRÍGUEZ ZAMBRANO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.818,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE CALI;2.680,;CORPORACION UNIVERSAL DE LOS ANDES-CUA;4143.2.21.3796;2010 may 12 12:00:00 AM;16792090-9;76,;VALLE DEL CAUCA;76.001,;CALI;;Tequendama;CARRERA 40 NO 5A-32;6836060;co.planeacion@cua.edu.co;www.cua.edu.co;PRIVADA;Ruben DarioNarvaez Vanegas;SI;20.037-3;NTC 5555;CELAC;RENOVADA;2020 ene 07 12:00:00 AM;2023 ene 06 12:00:00 AM;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.781,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CÓRDOBA;6.340,;"INSTITUTO DE EDUCACION PARA EL TRABAJO  Y EL DESARROLLO HUMANO ""SISTEC""";089;2006 jun 16 12:00:00 AM;900083958-0;23,;CÓRDOBA;23.466,;MONTELÍBANO;;;CALLE 15N3-41;7626619;ALBA_CAL@HOTMAIL.COM;;PRIVADA;ALVARO BERROCAL CUEVAS;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.810,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE BARRANCABERMEJA;9.230,;INSTITUTO TÉCNICO QUALlTA S.A.S;2249;2018 dic 27 12:00:00 AM;901050502-8;68,;SANTANDER;68.081,;BARRANCABERMEJA;;Recreo;Calle 45a No. 23 - 51;3132655265;eliananangarita@gmail.com;;PRIVADA;ELlANAANGARITA JULIO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.801,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL NORTE DE SANTANDER;7.563,;CAPACITACIONES INTELCOC INSTITUTO TECNICO LABORAL COMPETITIVO DE COLOMBIA;RESOLUCION No 00705;2012 mar 12 12:00:00 AM;60441256-9;54,;NORTE DE SANTANDER;54.518,;PAMPLONA;;CENTRO;CARRERA 6 No 5 - 09;5683683;capacitacionesintelcoc2012@gmail.com;www.capacitacionesintelcoc.com;PRIVADA;MARIA CENAIDA FUENTES ARCHILAFUENTES ARCHILA;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
4.909,;SECRETARÍA DE EDUCACIÓN DISTRITO BARRANQUILLA;8.277,;UNIVERSIDAD UNIVERSIDAD SIMON BOLIVAR;1318;2072 nov 15 12:00:00 AM;890104633-9;8,;ATLÁNTICO;8.001,;BARRANQUILLA;;PRADO;CARRERA 59 No. 59 - 92;3158966023;splata@unisimonbolivar.edu.co;;PRIVADA;JOSE EUSEBIOCONSUEGRA BOLIVAR;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.767,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL BOLÍVAR;9.469,;"INSTITUTO DE ENSEÑANZA Y CAPACITACIÓN TÉCNICA DE LA SABANA ""IDECTSA"" - MONTECRISTO";3558;2017 sep 11 12:00:00 AM;2759165;13,;BOLÍVAR;13.458,;MONTECRISTO;;4 de Noviembre;Calle Arriba;3106551478;idectasaeducar2013@hotmail.com;;PRIVADA;AUGUSTO EMIROMESTRA ZAPA;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.793,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MAICAO;8.715,;CENTRO IBEROAMERICANO DE ESTUDIOS TÉCNICO LABORAL;1744;2016 dic 30 12:00:00 AM;825002029-5;44,;LA GUAJIRA;44.430,;MAICAO;;SAN JOSE;CALLE 17 No 10-69;3113892226;cibetecl@Gmail.com;;PRIVADA;ANDRISOJEDA MOJICA;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
4.911,;SECRETARÍA DE EDUCACIÓN DISTRITO SANTA MARTA;6.635,;INSTITUTO DARSEINI;0511;2006 jul 05 12:00:00 AM;900323362-2;47,;MAGDALENA;47.001,;SANTA MARTA;;CENTRO;CALLE 21 No. 5-11;4233216;leisby_10@hotmail.com;;PRIVADA;LEISBY ESTHERPEREZ CASTELLON;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.806,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE PEREIRA;7.362,;RODRIGO ARENAS BETANCURT;468;2097 jul 07 12:00:00 AM;816001947-4;66,;RISARALDA;66.001,;PEREIRA;;CUCHILLA DE LOS CASTRO CUBA;CALLE 80 36B-30;3208820;RODRIGOARENAS@PEREIRAEDUCA.GOV.CO;;OFICIAL;RAFAEL ESTRADA BUENO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.822,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE PALMIRA;1.584,;CENTRO DE ASISTENCIAS TÉCNICAS EMPRESARIALES ¨CENTRA 2000 EAT¨;0890;2013 jun 12 12:00:00 AM;8150027493;76,;VALLE DEL CAUCA;76.520,;PALMIRA;;LA TRINIDAD;CARRERA 24 #31-52;3188481685;centra2000palmira@hotmail.com;www.centra2000palmira.net;PRIVADA;MARIOCABAL ALFONSO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.766,;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;9.152,;UNIPANAMERICANA FUNDACION UNIVERSITARIA PANAMERICANA;PJ23635;2081 dic 23 12:00:00 AM;860.506.140-6;11,;BOGOTÁ D.C.;11.001,;BOGOTÁ;TEUSAQUILLO;TEUSAQUILLO;CALLE32 No. 17-30;3380666;jlmaciasr@unipanamericana.edu.co;www.unipanamericana.edu.co;PRIVADA;RICARDO AMORTEGUI PERILLA;SI;FT-CER728684;NTC 5555;ICONTEC;PRIMERA VEZ;2019 nov 22 12:00:00 AM;2022 nov 21 12:00:00 AM;-74,073096;4,621042;2.020,;11,;2020 nov 30 12:00:00 AM
3.822,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE PALMIRA;9.258,;INSTITUTO BASIS;3072;2019 jun 11 12:00:00 AM;2966375-6;76,;VALLE DEL CAUCA;76.520,;PALMIRA;;ZONA URBANA DE PALMIRA VALLE;CALLE 29 # 31-63;CENTRO;colegiobasis1997@hotmail.com;;PRIVADA;PAULA ANDREAGARCIA MARTINEZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.758,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL DE ANTIOQUIA;5.915,;FUNDACIÓN ESCUELA COLOMBIANA DE MERCADOTECNIA - ESCOLME;007033;2011 ago 24 12:00:00 AM;890909377-3;5,;ANTIOQUIA;5.761,;SOPETRÁN;;Parque Principal;Calle 9 No. 7-13;8541622;cmvillegasv@escolme.edu.co;www.escolme.edu.co;PRIVADA;CARLOS MARIO VILLEGAS VELÁSQUEZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
10.850,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE FACATATIVÁ;4.535,;ESCUELA COLOMBIANA DE BELLEZA;1045;2009 nov 25 12:00:00 AM;900300348-1;25,;CUNDINAMARCA;25.269,;FACATATIVÁ;;VERSALLES;CALLE 8 No 4A-21;8425735;escuelacolombianadebelleza@hotmail.com;;PRIVADA;JOHANA MARCELATORRES SANCHEZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.766,;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;6.175,;INSTITUCION EDUCATIVA TULIO OSPINA;030003;2011 feb 21 12:00:00 AM;19087672;11,;BOGOTÁ D.C.;11.001,;BOGOTÁ;SANTA FE;CENTRO;CALLE 23 No. 6-07 INTERIOR 15  LOCAL 20;7009253;info@redospina.com;;PRIVADA;JUAN CARLOSOSPINA ARANGO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.819,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE BUENAVENTURA;3.593,;"INSTITUTO SUPERIOR DE PROFESIONALES DEL VALLE DEL CAUCA ""INPROVALLEC S.A""";Nº 0905;2009 ene 23 12:00:00 AM;835000838-4;76,;VALLE DEL CAUCA;76.109,;BUENAVENTURA;;CENTRO;Carrera 2ª Nº 2-04 Altos de Carioca;2413845;jetobo@hotmail.com;;PRIVADA;EDMUNDO ANTONIOMOSQUERA;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.771,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE DUITAMA;7.303,;TELL ME THE WAY;444;2013 may 21 12:00:00 AM;900634049-6;15,;BOYACÁ;15.238,;DUITAMA;;SOLANO;CALLE 20A nO.12-14;7602560;info@tellmetheway.net;www.tellmetheway.net;PRIVADA;YESMIRARUSSI MORALES;SI;SG2019002751 J;NTC 5555;COTECNA;PRIMERA VEZ;2019 feb 01 12:00:00 AM;2022 ene 31 12:00:00 AM;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.797,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE VILLAVICENCIO;3.605,;INDECO;07;2010 ene 04 12:00:00 AM;6655927-2;50,;META;50.001,;VILLAVICENCIO;;PORFÍA;CALLE 64 SUR NO.44-03;6694636;VARGAS12@HOTMAIL.COM;;PRIVADA;FERNANDOVARGAS CARRILLO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.789,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CHOCÓ;9.426,;CENTRO TÉCNICO DEL CHOCÓ - CETCHO;3517;2019 dic 10 12:00:00 AM;11798781-9;27,;CHOCO;27.450,;MEDIO SAN JUAN;;MEDIO SAN JUAN;CORREGIMIENTO BOCA DE PEPE;3205655087;cetcholdta@gmail.com;;PRIVADA;JUAN ELEUTERIOURRUTIA PALACIOS;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
4.382,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE QUIBDÓ;8.484,;CEDENORTE INSTITUCION TECNICA - SECCIONAL QUIBDO;0411;2016 jun 15 12:00:00 AM;1040180572;27,;CHOCO;27.001,;QUIBDÓ;;SILENCIO;CRA 8 N° 30-70;3233681241;idurango@cedenorte.edu.co;www.cedenorte.edu.co;PRIVADA;ZENAIDA ANDREA CAÑAS TABARES;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
4.910,;SECRETARÍA DE EDUCACIÓN DISTRITO CARTAGENA;2.880,;ACADEMIA DE BELLEZA ESTETICA FRANCESA;0078;2011 mar 04 12:00:00 AM;8060140116;13,;BOLÍVAR;13.001,;CARTAGENA;;El Libano;Avenida Pedro Heredia, Sector El Libano, calle 31 No 49 A 85;6699910;academiaesteticafrancesacartagena@hotmail.com;;PRIVADA;MARITZA MORALES PEREZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.766,;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;3.707,;ALIANZA COLOMBO FRANCESA;010143;2009 nov 06 12:00:00 AM;860010904-6;11,;BOGOTÁ D.C.;11.001,;BOGOTÁ;USAQUEN;CEDRITOS;AV CARRERA 19 No. 134-81;6152522;adma@alianzafrancesa.org.co;www.alianzafrancesa.org.co;PRIVADA;BRUNO SIMONIN;SI;FT-CER577683;NTC 5555;ICONTEC;PRIMERA VEZ;2017 dic 29 12:00:00 AM;2020 dic 28 12:00:00 AM;;;2.020,;11,;2020 nov 30 12:00:00 AM
4.909,;SECRETARÍA DE EDUCACIÓN DISTRITO BARRANQUILLA;7.774,;CORPORACION EDUCATIVA CHACON COECH;03683;2015 jul 16 12:00:00 AM;5549663;8,;ATLÁNTICO;8.001,;BARRANQUILLA;;;CRA 52 No. 61 - 102;3593247;maria.eugenia.chacon@hotmail.com;;PRIVADA;LUIS ARTUROCHACON FAJARDO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.799,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE PASTO;8.803,;CENTRO TÉCNICO EDUCATIVO SAGRADO CORAZÓN DE MARÍA - CESCOM;0911;2017 abr 06 12:00:00 AM;27.087.154-8;52,;NARIÑO;52.001,;PASTO;;Centro;Calle 15 No. 27-80;3232891425;jjairocm@yahoo.es;;PRIVADA;Luisa Alejandra Narváez Chaves;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.798,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL NARIÑO;7.099,;CENTRO DE ESTUDIOS PROFESIONALES ANDINO;Resolución 3729;2007 dic 31 12:00:00 AM;12978177-6;52,;NARIÑO;52.399,;LA UNIÓN;;Niño Dios;Cra. 1ª No. 18-13;3102154149;andinocep@hotmail.com;www.andino.edu.co;PRIVADA;Bernardo CayetanoVillota;NO;CO242074;NTC 5555;BUREAU VERITAS;VENCIDA;2015 may 04 12:00:00 AM;2018 may 13 12:00:00 AM;-77,131816;1,605332;2.020,;11,;2020 nov 30 12:00:00 AM
3.792,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL LA GUAJIRA;5.634,;"INSTITUTO NACIONAL CENTRO DE SISTEMAS ""SYSTEM CENTER"" - SAN JUAN";1950;2010 dic 17 12:00:00 AM;900492668-4;44,;LA GUAJIRA;44.650,;SAN JUAN DEL CESAR;;Norte;Calle 11 No. 18-104;3157076818;systemcentersanjuan@gmail.com;;PRIVADA;WILLIAMCORREDOR GOMEZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.794,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL MAGDALENA;6.424,;CORPORACIÓN EDUCATIVA PARA EL TRABAJO Y EL DESARROLLO DE LA COSTA ATLÁNTICA C-EDUCA;140;2011 feb 24 12:00:00 AM;85468941;47,;MAGDALENA;47.288,;FUNDACIÓN;;CENTRO;CALLE 2 No 11-43;4210136;C-EDUCA@HOTMAIL.COM;WWW.C-EDUCA.JIMDO.COM;PRIVADA;ABRAHAM ALBERTOALVARADO GALVAN;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.786,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE FUSAGASUGÁ;1.783,;"FUNDACION DE EDUCACION  EN SALUD MARIE POUSSEPIN "" FORMASALUD""";000998;2099 oct 13 12:00:00 AM;808001437-0;25,;CUNDINAMARCA;25.290,;FUSAGASUGÁ;;CENTRO;CARRERA 5  No.8-65;8732397;formasaludfusa@presantafe.com.co;;PRIVADA;MARIA DOLORESMORENO FAJARDO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.773,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CALDAS;9.602,;EMPRESA DE EDUCACIÓN ISI S.A.S;2648-6;2020 sep 02 12:00:00 AM;901325814-2;17,;CALDAS;17.614,;RIOSUCIO;;Barrio 20 Julio - Santa Monica;CARRERA 6 N° 13-64;3219815308;maoitl@hotmail.com;www.isifuturo.com;PRIVADA;MAURICIOVASQUEZ OSPINA;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.779,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CESAR;7.322,;ESCUELA DE EDUCACION DE COLOMBIA ESESCO - ASTREA;006060;2013 dic 16 12:00:00 AM;824003151-7;20,;CESAR;20.032,;ASTREA;;;CALLE 7 N° 3-13;3148171309;astrea.esesco@gmail.com;esesco.edu.co;PRIVADA;ANTONIO ELIASORTIZ ALQUERQUE;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
4.841,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE YOPAL;8.449,;INSTITUCION DE EDUCACIÓN PARA EL TRABAJO Y DESARROLLO HUMANO MUNDO STILOS;1468;2016 nov 25 12:00:00 AM;47429833-2;85,;CASANARE;85.001,;YOPAL;;LOS HELECHOS;CARRERA 18#23-57;3114751193;eudtorres@hotmail.com;;PRIVADA;EUDOCIATORRES SANCHEZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.777,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CAUCA;6.097,;ESCUELA DE FORMACIÓN TÉCNICA LABORAL SANTANDER;10829;2010 nov 05 12:00:00 AM;32757585-2;19,;CAUCA;19.698,;SANTANDER DE QUILICHAO;;Olaya Herrera - Santander de Quilchao;Carrera 10 # 8-05;8295386;yopacheco72@hotmail.com;;PRIVADA;YOHANA DE JESUSPACHECO NARVAEZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.808,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL SANTANDER;5.870,;CORPORACION UNIDADES TECNICAS DE COLOMBIA - UTC;020535;2011 dic 15 12:00:00 AM;900192626-8;68,;SANTANDER;68.655,;SABANA DE TORRES;;BUENOS AIRES;Carrera 15 No.10-63;6596037;director@utc.edu.co;www.utc.edu.co;PRIVADA;DEIBY EDUARDO RODRIGUEZ PEREZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
